           0.000000   206.57      0.23924      4.06122-321   205.88     -0.10634      4.06122-321   206.54     -0.43290      4.06122-321
           0.014315   412.94       4.2935       0.0000       412.16       3.8816       0.0000       412.87       3.6451       0.0000    
           0.014484   412.94       4.3423       0.0000       412.16       3.9297       0.0000       412.87       3.6944       0.0000    
           0.014484   412.94       4.3423       0.0000       412.16       3.9297       0.0000       412.87       3.6944       0.0000    
           0.014932   412.94       4.4721       0.0000       412.16       4.0577       0.0000       412.87       3.8255       0.0000    
           0.015529   412.94       4.6450       0.0000       412.15       4.2283       0.0000       412.87       4.0003       0.0000    
           0.015529   412.94       4.6450       0.0000       412.15       4.2283       0.0000       412.87       4.0003       0.0000    
           0.015662   412.94       4.6833       0.0000       412.15       4.2661       0.0000       412.87       4.0390       0.0000    
           0.015842   412.94       4.7354       0.0000       412.15       4.3175       0.0000       412.87       4.0917       0.0000    
           0.015842   412.94       4.7354       0.0000       412.15       4.3175       0.0000       412.87       4.0917       0.0000    
           0.016367   412.94       4.8876       0.0000       412.15       4.4676       0.0000       412.87       4.2455       0.0000    
           0.016367   412.94       4.8876       0.0000       412.15       4.4676       0.0000       412.87       4.2455       0.0000    
           0.016765   412.94       5.0025       0.0000       412.15       4.5810       0.0000       412.87       4.3618       0.0000    
           0.017363   412.94       5.1758       0.0000       412.14       4.7520       0.0000       412.87       4.5370       0.0000    
           0.017363   412.94       5.1758       0.0000       412.14       4.7520       0.0000       412.87       4.5370       0.0000    
           0.017557   412.94       5.2317       0.0000       412.14       4.8073       0.0000       412.86       4.5937       0.0000    
           0.017788   412.94       5.2986       0.0000       412.14       4.8732       0.0000       412.86       4.6613       0.0000    
           0.017788   412.94       5.2986       0.0000       412.14       4.8732       0.0000       412.86       4.6613       0.0000    
           0.018263   412.94       5.4360       0.0000       412.14       5.0089       0.0000       412.86       4.8004       0.0000    
           0.018263   412.94       5.4360       0.0000       412.14       5.0089       0.0000       412.86       4.8004       0.0000    
           0.018819   412.94       5.5966       0.0000       412.14       5.1676       0.0000       412.86       4.9631       0.0000    
           0.019407   412.94       5.7667       0.0000       412.13       5.3355       0.0000       412.86       5.1354       0.0000    
           0.019407   412.94       5.7667       0.0000       412.13       5.3355       0.0000       412.86       5.1354       0.0000    
           0.019428   412.94       5.7727       0.0000       412.13       5.3414       0.0000       412.86       5.1415       0.0000    
           0.019500   412.94       5.7937       0.0000       412.13       5.3622       0.0000       412.86       5.1628       0.0000    
           0.019500   412.94       5.7937       0.0000       412.13       5.3622       0.0000       412.86       5.1628       0.0000    
           0.020049   412.94       5.9522       0.0000       412.13       5.5188       0.0000       412.86       5.3234       0.0000    
           0.020656   412.94       6.1278       0.0000       412.13       5.6923       0.0000       412.85       5.5014       0.0000    
           0.020656   412.94       6.1278       0.0000       412.13       5.6923       0.0000       412.85       5.5014       0.0000    
